,time,Alleymultiproxy
199,-5606.92,0.6471979913916819
200,-5591.889999999999,0.7101979913916807
201,-5577.43,0.6431979913916805
202,-5562.37,0.4391979913916799
203,-5547.42,0.23919799139168063
204,-5532.12,0.006197991391680091
205,-5517.17,-0.12480200860832014
206,-5502.54,-0.1658020086083205
207,-5488.24,-0.2878020086083204
208,-5473.04,-0.38280200860831926
209,-5458.68,-0.4888020086083209
210,-5444.33,-0.6618020086083192
211,-5431.01,-0.7798020086083177
212,-5417.21,-0.7808020086083189
213,-5402.91,-0.7238020086083203
214,-5389.139999999999,-0.7538020086083179
215,-5375.0,-0.6708020086083195
216,-5360.25,-0.5328020086083178
217,-5345.5,-0.2538020086083179
218,-5327.4400000000005,0.08019799139168171
219,-5302.05,0.24419799139167964
220,-5288.29,0.33619799139168194
221,-5274.77,0.4621979913916796
222,-5260.469999999999,0.5841979913916795
223,-5246.23,0.5851979913916807
224,-5231.62,0.5371979913916789
225,-5217.73,0.6631979913916801
226,-5217.73,0.601197991391679
227,-5203.57,0.7771979913916809
228,-5189.4400000000005,0.7271979913916802
229,-5175.77,0.7521979913916788
230,-5161.82,0.7641979913916792
231,-5147.63,0.6221979913916797
232,-5134.25,0.5631979913916823
233,-5120.67,0.41019799139168
234,-5106.08,0.3501979913916813
235,-5092.1900000000005,0.48719799139168174
236,-5079.0,0.4861979913916805
237,-5065.91,0.4091979913916788
238,-5051.63,0.36519799139168185
239,-5037.889999999999,0.5561979913916808
240,-5023.75,0.8341979913916795
241,-5009.9,0.8321979913916806
242,-4996.37,0.6531979913916821
243,-4983.65,0.5091979913916802
244,-4970.54,0.4961979913916821
245,-4957.43,0.4961979913916821
246,-4943.26,0.3761979913916811
247,-4930.74,0.21019799139168072
248,-4917.32,0.1321979913916813
249,-4904.08,-0.02980200860831772
250,-4891.2,-0.0878020086083211
251,-4878.3099999999995,-0.15180200860832116
252,-4857.74,-0.2658020086083184
253,-4851.13,-0.2918020086083182
254,-4835.9400000000005,-0.2898020086083193
255,-4824.09,-0.4418020086083203
256,-4811.469999999999,-0.8908020086083184
257,-4798.21,-1.1898020086083179
258,-4784.46,-1.1918020086083203
259,-4771.0599999999995,-1.2408020086083198
260,-4759.2,-1.3048020086083163
261,-4744.969999999999,-1.253802008608318
262,-4731.85,-1.2028020086083195
263,-4719.55,-1.1228020086083212
264,-4706.96,-1.0278020086083188
265,-4692.71,-0.9438020086083192
266,-4680.99,-0.7878020086083204
267,-4667.280000000001,-0.7558020086083204
268,-4654.35,-0.8238020086083182
269,-4641.13,-0.8098020086083189
270,-4628.65,-0.8928020086083208
271,-4615.38,-1.0228020086083198
272,-4602.610000000001,-0.8198020086083204
273,-4588.79,-0.5258020086083199
274,-4575.88,-0.442802008608318
275,-4562.99,-0.41380200860831806
276,-4549.610000000001,-0.3578020086083207
277,-4536.26,-0.30480200860831985
278,-4520.62,-0.43680200860831775
279,-4510.66,-0.7158020086083212
280,-4498.01,-0.7628020086083183
281,-4485.59,-0.7608020086083194
282,-4473.02,-0.7358020086083208
283,-4460.16,-0.7658020086083184
284,-4445.4400000000005,-0.7388020086083209
285,-4433.29,-0.5958020086083202
286,-4421.79,-0.45380200860832076
287,-4409.16,-0.32880200860832076
288,-4395.9,-0.2898020086083193
289,-4380.4,-0.35980200860831957
290,-4370.4400000000005,-0.3168020086083203
291,-4357.67,-0.21180200860831988
292,-4345.21,-0.17580200860831852
293,-4332.969999999999,-0.0738020086083182
294,-4320.07,-0.023802008608321046
295,-4307.3099999999995,0.03919799139168134
296,-4294.27,0.28519799139168
297,-4294.27,0.2931979913916791
298,-4269.110000000001,0.5111979913916791
299,-4256.79,0.6241979913916822
300,-4244.4,0.5731979913916803
301,-4231.73,0.5521979913916795
302,-4219.280000000001,0.5261979913916797
303,-4207.52,0.3761979913916811
304,-4195.07,0.25319799139168
305,-4182.43,0.2791979913916798
306,-4168.17,0.3761979913916811
307,-4156.139999999999,0.4391979913916799
308,-4143.780000000001,0.432197991391682
309,-4130.1,0.4231979913916817
310,-4117.8,0.3711979913916821
311,-4103.32,0.2931979913916791
312,-4092.09,0.22719799139168018
313,-4079.96,0.1081979913916804
314,-4067.09,0.10719799139167918
315,-4054.4,0.035197991391680006
316,-4041.61,-0.17580200860831852
317,-4029.42,-0.17880200860831863
318,-4016.89,-0.2588020086083205
319,-4016.89,-0.17780200860832096
320,-3989.62,-0.35680200860831945
321,-3989.62,-0.334802008608321
322,-3978.73,-0.3238020086083182
323,-3966.4700000000003,-0.35180200860832045
324,-3953.67,-0.42680200860831974
325,-3941.7200000000003,-0.49480200860832113
326,-3929.05,-0.48480200860831957
327,-3916.4300000000003,-0.4388020086083202
328,-3904.87,-0.4408020086083191
329,-3888.3,-0.4198020086083183
330,-3880.09,-0.35380200860831934
331,-3867.21,-0.30280200860832096
332,-3855.5699999999997,-0.30980200860831886
333,-3843.79,-0.3408020086083212
334,-3832.1800000000003,-0.2718020086083186
335,-3817.44,-0.1138020086083209
336,-3808.16,-0.05480200860831985
337,-3796.01,-0.031802008608320165
338,-3784.02,0.1791979913916819
339,-3772.06,0.22419799139168006
340,-3759.66,0.3561979913916815
341,-3747.26,0.46819799139167984
342,-3736.1099999999997,0.5241979913916808
343,-3725.29,0.47219799139168117
344,-3713.4300000000003,0.3451979913916823
345,-3701.2799999999997,0.2601979913916814
346,-3688.9700000000003,0.3401979913916797
347,-3676.9,0.4561979913916794
348,-3665.17,0.6221979913916797
349,-3651.83,0.7981979913916817
350,-3636.24,0.8401979913916797
351,-3626.31,0.8961979913916807
352,-3617.51,0.937197991391681
353,-3605.74,0.7551979913916789
354,-3581.58,0.5811979913916794
355,-3569.09,0.47919799139167907
356,-3557.81,0.39019799139168043
357,-3544.95,0.2511979913916811
358,-3533.88,0.1571979913916799
359,-3522.52,0.17419799139167935
360,-3510.2799999999997,0.3321979913916806
361,-3491.26,0.4281979913916807
362,-3462.06,0.4571979913916806
363,-3449.34,0.5841979913916795
364,-3437.44,0.6461979913916807
365,-3425.56,0.6321979913916813
366,-3410.73,0.6621979913916789
367,-3402.2799999999997,0.6681979913916791
368,-3390.5299999999997,0.6941979913916789
369,-3378.6800000000003,0.7331979913916804
370,-3378.6800000000003,0.8251979913916792
371,-3367.37,1.0241979913916808
372,-3354.7200000000003,1.0871979913916796
373,-3343.2,1.0091979913916802
374,-3331.1099999999997,1.1991979913916815
375,-3320.3199999999997,1.5841979913916795
376,-3308.4700000000003,1.8771979913916788
377,-3297.0699999999997,1.9881979913916794
378,-3286.1,1.934197991391681
379,-3274.3900000000003,1.8241979913916815
380,-3260.1800000000003,1.7441979913916796
381,-3248.6400000000003,1.6901979913916811
382,-3237.71,1.6051979913916803
383,-3227.6099999999997,1.466197991391681
384,-3214.58,1.2931979913916791
385,-3204.0299999999997,1.216197991391681
