Site,Age (yr bp1950),T annual anom (oC),
GISP2,2429.92,0.689,
GISP2,2434.93,0.631,
GISP2,2439.94,0.596,
GISP2,2444.95,0.603,
GISP2,2449.96,0.677,
GISP2,2454.96,0.836,
GISP2,2459.97,1.060,
GISP2,2464.97,1.325,
GISP2,2469.97,1.589,
GISP2,2474.97,1.778,
GISP2,2479.96,1.835,
GISP2,2484.95,1.792,
GISP2,2489.94,1.743,
GISP2,2494.92,1.745,
GISP2,2499.90,1.763,
GISP2,2504.88,1.740,
GISP2,2509.84,1.697,
GISP2,2514.81,1.687,
GISP2,2519.76,1.719,
GISP2,2524.72,1.747,
GISP2,2529.66,1.722,
GISP2,2534.61,1.665,
GISP2,2539.54,1.621,
GISP2,2544.47,1.608,
GISP2,2549.39,1.596,
GISP2,2554.31,1.540,
GISP2,2559.22,1.438,
GISP2,2564.13,1.335,
GISP2,2569.03,1.277,
GISP2,2573.92,1.261,
GISP2,2578.81,1.227,
GISP2,2583.70,1.146,
GISP2,2588.58,1.078,
GISP2,2593.46,1.085,
GISP2,2598.34,1.127,
GISP2,2603.21,1.115,
GISP2,2608.07,1.041,
GISP2,2612.94,0.991,
GISP2,2617.80,1.030,
GISP2,2622.66,1.111,
GISP2,2627.51,1.134,
GISP2,2632.36,1.077,
GISP2,2637.20,1.021,
GISP2,2642.05,1.011,
GISP2,2646.89,1.001,
GISP2,2651.73,0.940,
GISP2,2656.57,0.862,
GISP2,2661.40,0.838,
GISP2,2666.24,0.883,
GISP2,2671.07,0.965,
GISP2,2675.90,1.059,
GISP2,2680.73,1.166,
GISP2,2685.55,1.306,
GISP2,2690.38,1.457,
GISP2,2695.20,1.552,
GISP2,2700.03,1.553,
GISP2,2704.85,1.471,
GISP2,2709.67,1.333,
GISP2,2714.49,1.155,
GISP2,2719.31,0.958,
GISP2,2724.12,0.762,
GISP2,2728.94,0.587,
GISP2,2733.76,0.463,
GISP2,2738.57,0.436,
GISP2,2743.38,0.501,
GISP2,2748.20,0.611,
GISP2,2753.01,0.722,
GISP2,2757.82,0.815,
GISP2,2762.63,0.913,
GISP2,2767.44,1.034,
GISP2,2772.25,1.156,
GISP2,2777.06,1.247,
GISP2,2781.87,1.296,
GISP2,2786.68,1.326,
GISP2,2791.49,1.354,
GISP2,2796.30,1.381,
GISP2,2801.10,1.396,
GISP2,2805.91,1.391,
GISP2,2810.72,1.374,
GISP2,2815.53,1.370,
GISP2,2820.34,1.397,
GISP2,2825.15,1.432,
GISP2,2829.95,1.440,
GISP2,2834.76,1.409,
GISP2,2839.57,1.337,
GISP2,2844.38,1.233,
GISP2,2849.19,1.115,
GISP2,2854.00,1.005,
GISP2,2858.81,0.929,
GISP2,2863.62,0.921,
GISP2,2868.44,0.990,
GISP2,2873.25,1.105,
GISP2,2878.06,1.232,
GISP2,2882.88,1.365,
GISP2,2887.69,1.505,
GISP2,2892.51,1.641,
GISP2,2897.32,1.740,
GISP2,2902.14,1.770,
GISP2,2906.96,1.755,
GISP2,2911.78,1.749,
GISP2,2916.60,1.749,
GISP2,2921.43,1.711,
GISP2,2926.25,1.601,
GISP2,2931.07,1.433,
GISP2,2935.90,1.263,
GISP2,2940.73,1.118,
GISP2,2945.56,0.985,
GISP2,2950.39,0.857,
GISP2,2955.22,0.767,
GISP2,2960.06,0.736,
GISP2,2964.89,0.740,
GISP2,2969.73,0.751,
GISP2,2974.57,0.773,
GISP2,2979.41,0.816,
GISP2,2984.26,0.882,
GISP2,2989.10,0.940,
GISP2,2993.95,0.961,
GISP2,2998.80,0.951,
GISP2,3003.65,0.945,
GISP2,3008.51,0.970,
GISP2,3013.36,1.006,
GISP2,3018.22,1.032,
GISP2,3023.09,1.067,
GISP2,3027.95,1.143,
GISP2,3032.82,1.260,
GISP2,3037.68,1.378,
GISP2,3042.56,1.454,
GISP2,3047.43,1.468,
GISP2,3052.31,1.435,
GISP2,3057.19,1.371,
GISP2,3062.07,1.273,
GISP2,3066.95,1.142,
GISP2,3071.84,0.996,
GISP2,3076.73,0.874,
GISP2,3081.63,0.806,
GISP2,3086.53,0.793,
GISP2,3091.43,0.840,
GISP2,3096.33,0.957,
GISP2,3101.24,1.144,
GISP2,3106.15,1.387,
GISP2,3111.06,1.661,
GISP2,3115.98,1.927,
GISP2,3120.90,2.117,
GISP2,3125.83,2.202,
GISP2,3130.76,2.197,
GISP2,3135.69,2.121,
GISP2,3140.62,1.995,
GISP2,3145.56,1.826,
GISP2,3150.51,1.645,
GISP2,3155.45,1.512,
GISP2,3160.40,1.457,
GISP2,3165.36,1.456,
GISP2,3170.32,1.454,
GISP2,3175.28,1.443,
GISP2,3180.25,1.461,
GISP2,3185.22,1.524,
GISP2,3190.20,1.585,
GISP2,3195.18,1.611,
GISP2,3200.16,1.631,
GISP2,3205.15,1.691,
GISP2,3210.15,1.812,
GISP2,3215.14,1.977,
GISP2,3220.15,2.165,
GISP2,3225.15,2.356,
GISP2,3230.17,2.556,
GISP2,3235.18,2.756,
GISP2,3240.21,2.910,
GISP2,3245.23,3.005,
GISP2,3250.26,3.052,
GISP2,3255.30,3.043,
GISP2,3260.34,2.973,
