time,wu_tsi
-2465,1361.1945
-2455,1361.27655
-2445,1361.2500000000002
-2435,1361.2012
-2425,1361.2579499999997
-2415,1361.4085499999999
-2405,1361.4483500000001
-2395,1361.38195
-2385,1361.35705
-2375,1361.2843
-2365,1361.0993000000003
-2355,1360.852
-2345,1360.6974
-2335,1360.6248
-2325,1360.5778000000003
-2315,1360.51725
-2305,1360.4927500000001
-2295,1360.5631500000004
-2285,1360.7184999999997
-2275,1360.8998500000002
-2265,1361.0243
-2255,1361.1189499999998
-2245,1361.2394
-2235,1361.3356999999999
-2225,1361.3717
-2215,1361.3155499999998
-2205,1361.2178
-2195,1361.1751
-2185,1361.1739999999998
-2175,1361.2662499999997
-2165,1361.32835
-2155,1361.2620499999998
-2145,1361.22425
-2135,1361.1993
-2125,1361.1361499999998
-2115,1361.0737
-2105,1361.05985
-2095,1361.09935
-2085,1361.18925
-2075,1361.2552500000002
-2065,1361.2308000000003
-2055,1361.18255
-2045,1361.1895499999998
-2035,1361.229
-2025,1361.2576
-2015,1361.2154500000001
-2005,1361.1589
-1995,1361.1586000000002
-1985,1361.1953500000002
-1975,1361.2124999999999
-1965,1361.1878499999998
-1955,1361.1985500000003
-1945,1361.2043500000002
-1935,1361.19475
-1925,1361.0931
-1915,1361.0096
-1905,1360.9402499999999
-1895,1360.9262
-1885,1360.9965
-1875,1360.9791
-1865,1360.91705
-1855,1360.8827999999999
-1845,1360.85695
-1835,1360.8764999999999
-1825,1360.9462999999998
-1815,1361.0525499999999
-1805,1361.1347500000002
-1795,1361.15215
-1785,1361.1702500000001
-1775,1361.19555
-1765,1361.24205
-1755,1361.2728000000002
-1745,1361.2373
-1735,1361.15065
-1725,1361.0605499999997
-1715,1360.94765
-1705,1360.8278999999998
-1695,1360.7723500000002
-1685,1360.835
-1675,1361.0082499999999
-1665,1361.229
-1655,1361.43245
-1645,1361.5221999999999
-1635,1361.4162500000002
-1625,1361.2580999999998
-1615,1361.1602499999997
-1605,1361.15785
-1595,1361.1941500000003
-1585,1361.217
-1575,1361.1714500000003
-1565,1361.0967
-1555,1361.0179
-1545,1360.9442
-1535,1360.8799499999998
-1525,1360.8465999999996
-1515,1360.8676
-1505,1360.93585
-1495,1360.9906999999998
-1485,1361.0049499999998
-1475,1361.0651
-1465,1361.1886
-1455,1361.28875
-1445,1361.3231
-1435,1361.2933500000001
-1425,1361.20865
-1415,1361.0950500000001
-1405,1361.0414499999997
-1395,1360.9940000000001
-1385,1360.9041000000002
-1375,1360.8728500000002
-1365,1360.8629
-1355,1360.84455
-1345,1360.8519000000001
-1335,1360.9042000000002
-1325,1360.9421499999999
-1315,1360.9034500000002
-1305,1360.75645
-1295,1360.5848
-1285,1360.4897500000002
-1275,1360.5111000000002
-1265,1360.6093499999997
-1255,1360.70235
-1245,1360.7558000000001
-1235,1360.8237000000004
-1225,1360.8944000000001
-1215,1361.0501
-1205,1361.2375
-1195,1361.1936
-1185,1361.0693500000002
-1175,1360.9994499999998
-1165,1360.99035
-1155,1361.1118000000001
-1145,1361.1566500000001
-1135,1361.16285
-1125,1361.17245
-1115,1361.2207
-1105,1361.2377999999999
-1095,1361.15605
-1085,1361.0929999999998
-1075,1360.9877499999998
-1065,1360.85655
-1055,1360.7729
-1045,1360.8514
-1035,1361.0343
-1025,1361.19475
-1015,1361.2280500000002
-1005,1361.2615
-995,1361.2077
-985,1361.0606999999998
-975,1360.9115
-965,1360.9025500000002
-955,1360.9326500000002
-945,1360.8224
-935,1360.7317499999997
-925,1360.5744
