id,tau,E,train_len,train_ind_i,knn,Tp_flag,Tp,lag,Tp_lag_total,sample,weighted,target_var,col_var,surr_var,surr_num,col_var_id,target_var_id
1786473082897,1,7,,0,20,,1,-31,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082898,1,7,,0,20,,1,-30,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082900,1,7,,0,20,,1,-29,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082901,1,7,,0,20,,1,-28,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082902,1,7,,0,20,,1,-27,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082903,1,7,,0,20,,1,-26,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082905,1,7,,0,20,,1,-25,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082906,1,7,,0,20,,1,-24,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082907,1,7,,0,20,,1,-23,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082908,1,7,,0,20,,1,-22,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082910,1,7,,0,20,,1,-21,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082911,1,7,,0,20,,1,-20,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082912,1,7,,0,20,,1,-19,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082914,1,7,,0,20,,1,-18,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082915,1,7,,0,20,,1,-17,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082916,1,7,,0,20,,1,-16,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082917,1,7,,0,20,,1,-15,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082919,1,7,,0,20,,1,-14,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082920,1,7,,0,20,,1,-13,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082921,1,7,,0,20,,1,-12,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082922,1,7,,0,20,,1,-11,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082924,1,7,,0,20,,1,-10,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082925,1,7,,0,20,,1,-9,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082926,1,7,,0,20,,1,-8,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082928,1,7,,0,20,,1,-7,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082929,1,7,,0,20,,1,-6,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082930,1,7,,0,20,,1,-5,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082932,1,7,,0,20,,1,-4,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082933,1,7,,0,20,,1,-3,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082934,1,7,,0,20,,1,-2,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082935,1,7,,0,20,,1,-1,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082937,1,7,,0,20,,1,0,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082938,1,7,,0,20,,1,1,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082939,1,7,,0,20,,1,2,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082940,1,7,,0,20,,1,3,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082942,1,7,,0,20,,1,4,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082943,1,7,,0,20,,1,5,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082944,1,7,,0,20,,1,6,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082945,1,7,,0,20,,1,7,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082946,1,7,,0,20,,1,8,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
