id,tau,E,train_len,train_ind_i,knn,Tp_flag,Tp,lag,Tp_lag_total,sample,weighted,target_var,col_var,surr_var,surr_num,col_var_id,target_var_id,output_pointer,output_file_exists,to_run
1786473082841,1,6,,0.0,20,,1,7,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag7.parquet,False,True
1786473082842,1,6,,0.0,20,,1,8,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag8.parquet,False,True
1786473082844,1,6,,0.0,20,,1,9,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag9.parquet,False,True
1786473082845,1,6,,0.0,20,,1,10,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag10.parquet,False,True
1786473082846,1,6,,0.0,20,,1,11,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag11.parquet,False,True
1786473082847,1,6,,0.0,20,,1,12,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag12.parquet,False,True
1786473082849,1,6,,0.0,20,,1,13,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag13.parquet,False,True
1786473082850,1,6,,0.0,20,,1,14,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag14.parquet,False,True
1786473082851,1,6,,0.0,20,,1,15,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag15.parquet,False,True
1786473082853,1,6,,0.0,20,,1,16,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag16.parquet,False,True
1786473082854,1,6,,0.0,20,,1,17,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag17.parquet,False,True
1786473082855,1,6,,0.0,20,,1,18,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag18.parquet,False,True
1786473082856,1,6,,0.0,20,,1,19,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag19.parquet,False,True
1786473082858,1,6,,0.0,20,,1,20,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag20.parquet,False,True
1786473082859,1,6,,0.0,20,,1,21,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag21.parquet,False,True
1786473082860,1,6,,0.0,20,,1,22,32.0,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI,/Users/jlanders/PycharmProjects/holocene_TSI_temp_pb/hol_temp_tsi_ccm/Erb22daGMST_Wu18TSI/calc_local_tmp/calc_refactor/parquet/knn_20/tp_1/Erb22daGMST_Wu18TSI/E6_tau1/E6_tau1_lag22.parquet,False,True
