col_var_id,target_var_id,E,tau,lag,surr_var,min_surr_num,max_surr_num
Erb22daGMST,Wu18TSI,5,3,-10,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-9,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-8,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-7,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-6,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-5,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-4,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-3,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-2,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-1,neither,0,0
Erb22daGMST,Wu18TSI,5,3,0,neither,0,0
Erb22daGMST,Wu18TSI,5,3,1,neither,0,0
Erb22daGMST,Wu18TSI,5,3,2,neither,0,0
Erb22daGMST,Wu18TSI,5,3,3,neither,0,0
Erb22daGMST,Wu18TSI,5,3,4,neither,0,0
Erb22daGMST,Wu18TSI,5,3,5,neither,0,0
Erb22daGMST,Wu18TSI,5,3,6,neither,0,0
Erb22daGMST,Wu18TSI,5,3,7,neither,0,0
Erb22daGMST,Wu18TSI,5,3,8,neither,0,0
Erb22daGMST,Wu18TSI,5,3,9,neither,0,0
Erb22daGMST,Wu18TSI,5,3,10,neither,0,0
Erb22daGMST,Wu18TSI,5,3,11,neither,0,0
Erb22daGMST,Wu18TSI,5,3,12,neither,0,0
Erb22daGMST,Wu18TSI,5,3,13,neither,0,0
Erb22daGMST,Wu18TSI,5,3,14,neither,0,0
Erb22daGMST,Wu18TSI,5,3,15,neither,0,0
Erb22daGMST,Wu18TSI,5,3,16,neither,0,0
Erb22daGMST,Wu18TSI,5,3,17,neither,0,0
Erb22daGMST,Wu18TSI,5,3,18,neither,0,0
Erb22daGMST,Wu18TSI,5,3,19,neither,0,0
Erb22daGMST,Wu18TSI,5,3,20,neither,0,0
Erb22daGMST,Wu18TSI,5,3,21,neither,0,0
