,time,seierstad14gisp2d18o1kyrfir
429,-3755,0.185685128010126
430,-3745,0.23721725823671175
431,-3735,0.19638107481189132
432,-3725,0.10358216114369442
433,-3715,-0.05264288199891082
434,-3705,-0.15507600456378867
435,-3695,-0.1917290369615849
436,-3685,-0.16677207424480436
437,-3675,-0.06643505442618489
438,-3665,0.004380023155950152
439,-3655,0.03927179330559768
440,-3645,0.05164340647871181
441,-3635,0.03642119984873375
442,-3625,0.07279002659246146
443,-3615,0.1723396578221814
444,-3605,0.23803052014848702
445,-3595,0.2623657696878545
446,-3585,0.2551314559395082
447,-3575,0.2093046775791697
448,-3565,0.12169738943803339
449,-3555,-0.01690689278921767
450,-3545,-0.14438361583881523
451,-3535,-0.25817669415154776
452,-3525,-0.2842056018367038
453,-3515,-0.20293242359236965
454,-3505,-0.04398860340519367
455,-3495,0.20986836196210323
456,-3485,0.3669488030938321
457,-3475,0.40580707481836265
458,-3465,0.34345690661743067
459,-3455,0.15738587202947207
460,-3445,0.04681631549125656
461,-3435,0.0285033339504219
462,-3425,-0.0201653910739146
463,-3415,-0.10587171395328784
464,-3405,-0.19144780971327635
465,-3395,-0.27682866690913355
466,-3385,-0.3552493099680196
467,-3375,-0.42516528412626486
468,-3365,-0.4520658415377632
469,-3355,-0.42642592817293945
470,-3345,-0.3465021838276624
471,-3335,-0.20034115833021035
472,-3325,-0.06186887339171593
473,-3315,0.06714405788221728
474,-3305,0.20430749194010878
475,-3295,0.35146200395391447
476,-3285,0.4189482213208281
477,-3275,0.3890384789297088
478,-3265,0.312146763582227
479,-3255,0.17778049044788363
480,-3245,0.1022812623008312
481,-3235,0.09867442294475413
482,-3225,0.10094651933699798
483,-3215,0.11026371697310147
484,-3205,0.08597738872477301
485,-3195,0.020649330029366517
486,-3185,-0.014026591042010723
487,-3175,-0.011292762721545217
488,-3165,0.06594405249358273
489,-3155,0.23415167312312068
490,-3145,0.26517348543714236
491,-3135,0.1284739023917314
492,-3125,-0.03051762324749352
493,-3115,-0.21673247858706204
494,-3105,-0.23501046941443526
495,-3095,-0.04811949780457692
496,-3085,0.07137326015185552
497,-3075,0.1084448004841717
498,-3065,0.0780741635695984
499,-3055,-0.03477327324257311
500,-3045,-0.09244081513580023
501,-3035,-0.08271203386913649
502,-3025,-0.08087275892658331
503,-3015,-0.08867335218736416
504,-3005,-0.1539091904519774
505,-2995,-0.2893037321040297
506,-2985,-0.3774350486030688
507,-2975,-0.4077585101794757
508,-2965,-0.35925624077232604
509,-2955,-0.21447959542367356
510,-2945,-0.07873386083902575
511,-2935,0.045978996958510654
512,-2925,0.15485048134871288
513,-2915,0.24431331169117348
514,-2905,0.23569658778595076
515,-2895,0.10717954069259977
516,-2885,0.02683390036051759
517,-2875,0.00545398371290828
518,-2865,0.05812151185165071
519,-2855,0.2013783750548281
520,-2845,0.24548760072249856
521,-2835,0.16841755284926388
522,-2825,0.11144710213379243
523,-2815,0.07901075820907741
524,-2805,0.059863885079550705
525,-2795,0.05701821922228084
526,-2785,0.001132758078543905
527,-2775,-0.1195225601634438
528,-2765,-0.2156666323589174
529,-2755,-0.2818807900639854
530,-2745,-0.21221409688781215
531,-2735,0.023588672243921194
532,-2725,0.22313043426837853
533,-2715,0.3784359203312739
534,-2705,0.3691508264906209
535,-2695,0.1587035760945177
536,-2685,-0.03508549437447264
537,-2675,-0.2084107274155591
538,-2665,-0.26259189573607605
539,-2655,-0.17109911940271127
540,-2645,-0.10795026546279146
541,-2635,-0.07947053958166939
542,-2625,-0.07935463796998149
543,-2615,-0.113868010206627
544,-2605,-0.12831594954472608
545,-2595,-0.11819465919591654
546,-2585,-0.08908650645240769
547,-2575,-0.036681271125454745
548,-2565,0.04036671384035087
549,-2555,0.14750904132187415
550,-2545,0.2229602874743599
551,-2535,0.2597152829126858
552,-2525,0.20741844106473634
553,-2515,0.04635803161998085
554,-2505,-0.04269984856635762
555,-2495,-0.04374994978353983
556,-2485,-0.05832652160238998
557,-2475,-0.0894101503290191
558,-2465,-0.16661605108641372
559,-2455,-0.3002079135322152
560,-2445,-0.3448416762960723
561,-2435,-0.2807257558608009
562,-2425,-0.2232916166558574
563,-2415,-0.17407358094145775
564,-2405,-0.08203760522231535
565,-2395,0.062277416540007735
566,-2385,0.22798489284885567
567,-2375,0.41987571912488997
568,-2365,0.5724651090536722
569,-2355,0.6770237107271245
570,-2345,0.5261464346041073
571,-2335,0.06307066163073799
572,-2325,-0.14101819099157836
573,-2315,-0.02858706193662687
574,-2305,-0.00941613568103429
575,-2295,-0.10424854065203755
576,-2285,-0.22595201340667873
577,-2275,-0.3805213739025118
578,-2265,-0.40096828356702774
579,-2255,-0.257540995442002
580,-2245,-0.09592962824675358
581,-2235,0.08783892613077648
582,-2225,0.18059887000249447
