time,NGRIP1seierstad14d18O_decavg_d18O
-2915,-34.647875
-2905,-34.595000000000006
-2895,-34.595000000000006
-2885,-34.6775
-2875,-34.8275
-2865,-34.94862499999999
-2855,-35.046125
-2845,-35.160125
-2835,-35.287625
-2825,-35.266625000000005
-2815,-35.124125
-2805,-34.981625
-2795,-34.83912500000001
-2785,-34.8245
-2775,-34.914500000000004
-2765,-34.953625
-2755,-34.951125000000005
-2745,-34.928000000000004
-2735,-34.888
-2725,-34.896125000000005
-2715,-34.943625000000004
-2705,-35.004875000000006
-2695,-35.077375
-2685,-35.14025
-2675,-35.19525
-2665,-35.262625
-2655,-35.34012499999999
-2645,-35.350249999999996
-2635,-35.305249999999994
-2625,-35.245124999999994
-2615,-35.172625
-2605,-35.177125000000004
-2595,-35.244625
-2585,-35.263999999999996
-2575,-35.244
-2565,-35.23775
-2555,-35.24275
-2545,-35.21475
-2535,-35.15975
-2525,-35.108875000000005
-2515,-35.06137500000001
-2505,-35.038625
-2495,-35.03612499999999
-2485,-35.09962499999999
-2475,-35.217124999999996
-2465,-35.359375
-2455,-35.521875
-2445,-35.618375
-2435,-35.660875000000004
-2425,-35.658
-2415,-35.61800000000001
-2405,-35.45975
-2395,-35.204750000000004
-2385,-35.002
-2375,-34.842
-2365,-34.74525
-2355,-34.70025
-2345,-34.8395
-2335,-35.12950000000001
-2325,-35.236625
-2315,-35.194125
-2305,-35.13099999999999
-2295,-35.051
-2285,-35.01775
-2275,-35.022749999999995
-2265,-35.007125
-2255,-34.97462499999999
-2245,-34.885749999999994
-2235,-34.75075
-2225,-34.694125
-2215,-34.701625
-2205,-34.799875
-2195,-34.972375
-2185,-35.0995
-2175,-35.189499999999995
-2165,-35.29875
-2155,-35.42375
-2145,-35.599625
-2135,-35.817125
-2125,-35.83525
-2115,-35.69024999999999
-2105,-35.541125
-2095,-35.388625
-2085,-35.304875
-2075,-35.27737499999999
-2065,-35.186625
-2055,-35.044125
-2045,-34.963499999999996
-2035,-34.933499999999995
-2025,-34.98325
-2015,-35.09825
-2005,-35.205000000000005
-1995,-35.30499999999999
-1985,-35.284000000000006
-1975,-35.16400000000001
-1965,-35.138875
-1955,-35.19137500000001
-1945,-35.21362499999999
-1935,-35.211124999999996
-1925,-35.126125
-1915,-34.973625
-1905,-34.812875
-1895,-34.645375
-1885,-34.6195
-1875,-34.7095
-1865,-34.75825
-1855,-34.773250000000004
-1845,-34.824
-1835,-34.903999999999996
-1825,-35.015625
-1815,-35.153125
-1805,-35.21225
-1795,-35.20725
-1785,-35.26412499999999
-1775,-35.37162500000001
-1765,-35.429625
-1755,-35.44712500000001
-1745,-35.51412499999999
-1735,-35.62162500000001
-1725,-35.685125
-1715,-35.71262499999999
-1705,-35.591624999999986
-1695,-35.349124999999994
-1685,-35.274375
-1675,-35.336875
-1665,-35.41175
-1655,-35.49675
-1645,-35.492374999999996
-1635,-35.414875
-1625,-35.461124999999996
-1615,-35.608625
-1605,-35.725874999999995
-1595,-35.818374999999996
-1585,-35.667500000000004
-1575,-35.3175
-1565,-34.967499999999994
-1555,-34.61749999999999
-1545,-34.636
-1535,-34.956
-1525,-35.223749999999995
-1515,-35.44875
-1505,-35.5005
-1495,-35.410500000000006
-1485,-35.434625000000004
-1475,-35.552125000000004
-1465,-35.598124999999996
-1455,-35.585625
-1445,-35.511250000000004
-1435,-35.386250000000004
-1425,-35.325187500000006
-1415,-35.3164375
-1405,-35.30768749999999
-1395,-35.2989375
-1385,-35.2901875
-1375,-35.281437499999996
-1365,-35.2726875
-1355,-35.2639375
