,time,erb22GMSTanom_decavg_temp__detrendedlinear
286,-5185.0,0.017559117855807972
287,-5175.0,0.0032888989573587567
288,-5165.0,-0.007749314941090456
289,-5155.0,0.011700126160460327
290,-5145.0,0.005963743262011111
291,-5135.0,0.016467090363561893
292,-5125.0,0.0028763124651126765
293,-5115.0,0.01108107156666346
294,-5105.0,0.00016108866821424456
295,-5095.0,0.009474719769765029
296,-5085.0,0.003587888871315812
297,-5075.0,-0.004799916027133401
298,-5065.0,0.006756914074417381
299,-5055.0,0.014854081175968165
300,-5045.0,0.014649631277518949
301,-5035.0,0.013039595379069735
302,-5025.0,0.014042803480620519
303,-5015.0,0.0076583215821713
304,-5005.0,0.008639471683722085
305,-4995.0,-0.011069227214727133
306,-4985.0,-0.018733920113176344
307,-4975.0,-0.030670670011625566
308,-4965.0,-0.03405314191007478
309,-4955.0,-0.03030453580852399
310,-4945.0,-0.022421353706973207
311,-4935.0,-0.015842777605422423
312,-4925.0,-0.006549642503871633
313,-4915.0,0.0013924985976791482
314,-4905.0,0.003437693699229933
315,-4895.0,-0.0031737981992192854
316,-4885.0,0.0014069639023314984
317,-4875.0,-0.011648744996117719
318,-4865.0,-0.015897573894566933
319,-4855.0,-0.011532319793016145
320,-4845.0,0.0019971293085346356
321,-4835.0,-0.011316563589914577
322,-4825.0,-0.0021758384883637932
323,-4815.0,0.012650225613186988
324,-4805.0,0.017663577714737772
325,-4795.0,0.020329406816288555
326,-4785.0,0.013252152917839339
327,-4775.0,0.013824292019390123
328,-4765.0,0.02446494442094091
329,-4755.0,0.023330672222491692
330,-4745.0,0.025893106324042476
331,-4735.0,0.02976036762559326
332,-4725.0,0.030463253727144042
333,-4715.0,0.036132189928694824
334,-4705.0,0.04482183573024561
335,-4695.0,0.03493318783179639
336,-4685.0,0.04001674693334718
337,-4675.0,0.030628695234897963
338,-4665.0,0.022879485136448746
339,-4655.0,0.03741910693799953
340,-4645.0,0.044554054339550314
341,-4635.0,0.0505104234411011
342,-4625.0,0.04636062754265188
343,-4615.0,0.06576500064420267
344,-4605.0,0.07078974974575344
345,-4595.0,0.07282045384730423
346,-4585.0,0.06690741894885502
347,-4575.0,0.055750649050405804
348,-4565.0,0.04625489915195659
349,-4555.0,0.042662921253507374
350,-4545.0,0.052644350355058156
351,-4535.0,0.06451080245660894
352,-4525.0,0.06787533855815972
353,-4515.0,0.05996462965971051
354,-4505.0,0.04801436876126129
355,-4495.0,0.05017144086281207
356,-4485.0,0.035819136964362855
357,-4475.0,0.030048030165913644
358,-4465.0,0.016679304167464427
359,-4455.0,0.00495223226901521
360,-4445.0,0.011407381370565996
361,-4435.0,0.038235168472116776
