time,tian22ht115kaallgmst
-3335,0.11009641118203639
-3325,0.07191234059487783
-3315,0.270334486438383
-3305,0.1333282036319865
-3295,0.15299897618447744
-3285,0.11800170369302165
-3275,0.022116999103177548
-3265,0.05197806782876491
-3255,0.05761990971719122
-3245,0.0016725105777872784
-3235,0.05827413029824591
-3225,0.020916037036528223
-3215,0.07621779866372513
-3205,-0.06843294672812128
-3195,-0.026673169659028773
-3185,0.12401862569009303
-3175,0.11061053700601065
-3165,0.08782391972695791
-3155,0.11294370122109854
-3145,0.01542096562539541
-3135,0.07048116154824591
-3125,0.13027024693642986
-3115,0.20462680287515056
-3105,0.03856091923867666
-3095,0.04528270192300177
-3085,-0.012164540813813574
-3075,0.060825876666655176
-3065,-0.013045735882172949
-3055,0.059335855914701696
-3045,0.07245545811807119
-3035,0.022688726855863095
-3025,0.08493314213906622
-3015,0.014259199573148251
-3005,0.09849620289956462
-2995,0.09636731572305202
-2985,-0.01429657511557103
-2975,0.03588090367471075
-2965,0.16663194127236736
-2955,0.06385331578408682
-2945,0.08833537526284552
-2935,0.05750117726479864
-2925,0.0592645210758338
-2915,0.09750380940591263
-2905,0.08989415593301153
-2895,0.08496356434975993
-2885,0.12179818577920365
-2875,0.04530692525063884
-2865,-0.009486718700776109
-2855,0.138006739093413
-2845,0.13041854329263103
-2835,0.16581530995522975
-2825,0.06912904210244619
-2815,0.11572404332314967
-2805,0.13310828633462357
-2795,0.09064021535073685
-2785,0.11340203709756302
-2775,0.04976249165688884
-2765,0.10850348897134232
-2755,0.05994315571938991
-2745,0.13345389790688955
-2735,0.2355620903507365
-2725,0.02346826024209392
-2715,0.077099565936674
-2705,0.08114467091714239
-2695,0.10543132252847087
-2685,0.08925157017861807
-2675,0.05322194523965251
-2665,0.18705573506509232
-2655,0.08923201985513174
-2645,0.18195910878335475
-2635,0.1519763512149943
-2625,0.1342938942447791
-2615,0.014128069354642392
-2605,0.05740552373086416
-2595,0.10041013188516068
-2585,0.1387804550663123
-2575,0.060427431537259935
-2565,0.04809565968667506
-2555,0.13802457280312908
-2545,0.09353938527261185
-2535,0.0687357468143599
-2525,0.15484643407021892
-2515,0.14849372334634303
-2505,0.0759235901371138
-2495,0.13067098088418483
-2485,0.1972673935428748
