time,GISP2seierstad14d18O_decavg_d18O
-3325,-34.673500000000004
-3315,-34.54350000000001
-3305,-34.403875
-3295,-34.256375
-3285,-34.20649999999999
-3275,-34.2365
-3265,-34.32425
-3255,-34.459250000000004
-3245,-34.52275000000001
-3235,-34.527750000000005
-3225,-34.525875
-3215,-34.518375
-3205,-34.552125000000004
-3195,-34.619625
-3185,-34.65
-3175,-34.65
-3165,-34.559250000000006
-3155,-34.39425000000001
-3145,-34.397000000000006
-3135,-34.53699999999999
-3125,-34.70449999999999
-3115,-34.894499999999994
-3105,-34.879625000000004
-3095,-34.69712500000001
-3085,-34.59712499999999
-3075,-34.564625
-3065,-34.614625
-3055,-34.732124999999996
-3045,-34.78224999999999
-3035,-34.777249999999995
-3025,-34.781875
-3015,-34.794374999999995
-3005,-34.876999999999995
-2995,-35.016999999999996
-2985,-35.09925
-2975,-35.134249999999994
-2965,-35.073
-2955,-34.93299999999999
-2945,-34.804
-2935,-34.684
-2925,-34.58325
-2915,-34.49825
-2905,-34.532875000000004
-2895,-34.665375
-2885,-34.73875000000001
-2875,-34.76375
-2865,-34.69800000000001
-2855,-34.55800000000001
-2845,-34.539
-2835,-34.61900000000001
-2825,-34.674249999999994
-2815,-34.70925000000001
-2805,-34.72775
-2795,-34.732749999999996
-2785,-34.802375
-2775,-34.924875
-2765,-35.017125
-2755,-35.084625
-2745,-34.985749999999996
-2735,-34.75075
-2725,-34.559749999999994
-2715,-34.40474999999999
-2705,-34.45049999999999
-2695,-34.66049999999999
-2685,-34.849875
-2675,-35.022375
-2665,-35.049125000000004
-2655,-34.95662500000001
-2645,-34.8985
-2635,-34.8685
-2625,-34.872875
-2615,-34.90537500000001
-2605,-34.913124999999994
-2595,-34.900625000000005
-2585,-34.864749999999994
-2575,-34.809749999999994
-2565,-34.72449999999999
-2555,-34.6145
-2545,-34.543
-2535,-34.503
-2525,-34.571625
-2515,-34.729124999999996
-2505,-34.798625
-2495,-34.796125
-2485,-34.810125
-2475,-34.83762499999999
-2465,-34.921499999999995
-2455,-35.05149999999999
-2445,-35.072874999999996
-2435,-35.005375
-2425,-34.94612500000001
-2415,-34.893625
-2405,-34.788875000000004
-2395,-34.641375
-2385,-34.46775000000001
-2375,-34.27275
-2365,-34.12587499999999
-2355,-34.018375000000006
-2345,-34.223
-2335,-34.683
-2325,-34.826750000000004
-2315,-34.71175
-2305,-34.710874999999994
-2295,-34.803375
-2285,-34.928875
-2275,-35.081374999999994
-2265,-35.07024999999999
-2255,-34.92525
-2245,-34.75825
-2235,-34.573249999999994
-2225,-34.499624999999995
-2215,-34.51712499999999
-2205,-34.580000000000005
-2195,-34.67999999999999
-2185,-34.737375
-2175,-34.75987500000001
-2165,-34.826375000000006
-2155,-34.928875000000005
-2145,-34.987375
-2135,-35.009875
-2125,-34.89074999999999
-2115,-34.65575
-2105,-34.48125
-2095,-34.35625
-2085,-34.279375
-2075,-34.24187500000001
-2065,-34.240125000000006
-2055,-34.267624999999995
-2045,-34.363875
-2035,-34.516375
-2025,-34.62762500000001
-2015,-34.705125
-2005,-34.77025
-1995,-34.825250000000004
-1985,-34.775749999999995
-1975,-34.64075
-1965,-34.595125
-1955,-34.622625
-1945,-34.6845
-1935,-34.774499999999996
-1925,-34.819125
-1915,-34.826625
-1905,-34.744749999999996
-1895,-34.589749999999995
-1885,-34.553
-1875,-34.613
-1865,-34.660624999999996
-1855,-34.698125000000005
-1845,-34.71362499999999
-1835,-34.711124999999996
-1825,-34.774625
-1815,-34.89212500000001
-1805,-35.002750000000006
-1795,-35.107749999999996
-1785,-35.148125
-1775,-35.13562499999999
-1765,-35.12587499999999
-1755,-35.118375
-1745,-35.0985
-1735,-35.06850000000001
-1725,-35.01650000000001
-1715,-34.9465
-1705,-34.833875
